CoordX,CoordY
179598.946454207,329879.886422274
179252.940524681,329751.223032111
179196.258379937,329759.53306076
179207.419947839,329775.50730949
179223.473329635,329773.991449991
179240.736741324,329782.394108565
179249.372345144,329789.046233321
179283.816720375,329774.668535228
179299.505492748,329774.900042238
179307.022192131,329773.52670295
179039.963522072,329884.132556766
178880.230404028,329938.52818365
178662.202069797,330269.000762948
178715.287396668,330345.781781283
178739.732180984,330420.045645036
178791.395113436,330561.933667323
178790.544891255,330568.682076507
178791.966795631,330584.275458669
178794.598850422,330593.731176225
178789.334831938,330609.339173192
178798.607124898,330623.882790286
178795.394394691,330646.780202602
178792.700391977,330668.576523544
178789.507274036,330668.221710768
178804.121857882,330674.462359304
178807.131975831,330699.670426756
178804.898160888,330722.91642541
178808.742798284,330729.643008222
178820.878322854,330736.992274995
178841.097650556,330745.082435491
178875.366548148,330744.473241586
178788.774403461,330673.672257235
178789.27716159,330673.281659648
